date,location,Master_SKU,Master_Name,Product_Family,Type,revenue,cost,quantity,profit,gross_margin_percent,mapping_tier
2026-01-01,Goodwin,SKU0273,Reese's Peanut Butter Cups,Reese's Peanut Butter Cups,Snack - Chips,2.75,0.94,1,1.81,65.8,direct
2026-01-01,The Bowen,SKU0174,KitKat,KitKat,Beverage - Coffee,2.5,0.94,1,1.56,62.4,direct
2026-01-01,The Bowen,SKU0133,Gatorade Frost - Glacier Cherry,Gatorade Frost - Glacier Cherry,Beverage - Hydration,3.0,0.75,1,2.25,75.0,direct
2026-01-01,The Bowen Freezer,SKU0352,Uncrustable Peanut Butter & Strawberry Jam Sandwich,Uncrustable Peanut Butter & Strawberry Jam Sandwich,Frozen - Meal,2.5,0.62,1,1.88,75.2,direct
2026-01-01,The Met,SKU0113,Dr Pepper 16.9oz,Dr Pepper 16.9oz,Snack - Beef Stick,3.0,0.74,1,2.26,75.3,direct
2026-01-01,The Bowen,SKU0133,Gatorade Frost - Glacier Cherry,Gatorade Frost - Glacier Cherry,Beverage - Hydration,3.0,0.75,1,2.25,75.0,direct
2026-01-01,The Met,SKU0167,Keebler Fudge Stripes Mini,Keebler Fudge Stripes Mini,Snack - Energy Bar,2.5,0.37,1,2.13,85.2,direct
2026-01-01,The Nine at West Campus,SKU0349,Twix,Twix,Beverage - Energy,2.5,0.94,1,1.56,62.4,direct
2026-01-01,The Nine at West Campus,SKU0390,Snickers,Snickers,,5.0,1.09,2,2.82,56.4,direct
2026-01-01,The Bowen,SKU0219,Moon Pie - Chocolate Double Decker,Moon Pie - Chocolate Double Decker,Snack - Energy Bar,2.5,0.55,1,1.95,78.0,direct
2026-01-01,The Met Freezer,SKU0304,Snickers Ice Cream Bar 2oz,Snickers Ice Cream Bar 2oz,Beverage - Soda,3.25,0.52,1,2.73,84.0,direct
2026-01-01,415 Colorado,SKU0284,Skittles Sour,Skittles Sour,Frozen - Meal,2.75,1.16,1,1.59,57.8,direct
2026-01-01,415 Colorado Freezer,SKU0233,Oreo Ice Cream,Oreo Ice Cream,Snack - Chips,3.5,0.81,1,2.69,76.9,direct
2026-01-01,The Bowen,SKU0087,Chester's Puffcorn Cheese Flavored (60.2g),Chester's Puffcorn Cheese Flavored (60.2g),Snack - Chips,3.5,1.25,1,2.25,64.3,direct
2026-01-01,The Met Freezer,SKU0056,Bola Pizza Sausage & Pepperoni,Bola Pizza Sausage & Pepperoni,Snack - Chips,18.5,12.58,1,5.92,32.0,direct
2026-01-01,The Met,SKU0116,Honey Buns,Honey Buns,Snack - Energy Bar,2.0,0.57,1,1.43,71.5,direct
2026-01-01,The Met,SKU0341,Trader Joe's Chile Lime Pork Rinds,Trader Joe's Chile Lime Pork Rinds,Snack - Candy,6.25,2.49,1,3.76,60.2,direct
2026-01-01,The Nine at West Campus,SKU0281,Rolled Corn Tortilla Chip Chili & Lime 9oz,Rolled Corn Tortilla Chip Chili & Lime 9oz,Beverage - Soda,6.25,2.99,1,3.26,52.2,direct
2026-01-01,The Met,SKU0346,Trolli,Trolli,Beverage - Energy,3.5,1.52,1,1.98,56.6,direct
2026-01-01,The Bowen Freezer,SKU0352,Uncrustable Peanut Butter & Strawberry Jam Sandwich,Uncrustable Peanut Butter & Strawberry Jam Sandwich,Frozen - Meal,2.5,0.62,1,1.88,75.2,direct
2026-01-01,The Bowen Freezer,SKU0056,Bola Pizza Sausage & Pepperoni,Bola Pizza Sausage & Pepperoni,Snack - Chips,37.0,12.58,2,11.84,32.0,direct
2026-01-01,The Bowen Freezer,SKU0345,Trader Joe’s Teriyaki Chicken Bowl,Trader Joe’s Teriyaki Chicken Bowl,Beverage - Hydration,9.25,4.79,1,4.46,48.2,direct
2026-01-01,The Met Freezer,SKU0336,Thelma's Ice Cream Sandwich Monster 6fl oz,Thelma's Ice Cream Sandwich Monster 6fl oz,Snack - Chips,6.0,3.13,1,2.87,47.8,direct
2026-01-01,The Nine at West Campus,SKU0295,Smart Water 23.7oz,Smart Water 23.7oz,Frozen - Ice Cream,3.5,1.0,1,2.5,71.4,direct
2026-01-01,415 Colorado,SKU0113,Dr Pepper 16.9oz,Dr Pepper 16.9oz,Snack - Beef Stick,3.25,0.74,1,2.51,77.2,direct
2026-01-01,The Bowen,SKU0230,Oreo Cookies,Oreo Cookies,Snack - Chips,2.5,0.45,1,2.05,82.0,direct
2026-01-01,The Nine at West Campus,SKU0273,Reese's Peanut Butter Cups,Reese's Peanut Butter Cups,Snack - Chips,2.5,0.94,1,1.56,62.4,direct
2026-01-01,The Bowen Freezer,SKU0146,Haagen-Dazs Bars,Haagen-Dazs Bars,Frozen - Ice Cream,3.75,0.86,1,2.89,77.1,direct
2026-01-01,The Met,SKU0153,Hershey's Cookies 'n Creme,Hershey's Cookies 'n Creme,Snack - Pastry,2.5,0.94,1,1.56,62.4,direct
2026-01-01,415 Colorado,SKU0284,Skittles Sour,Skittles Sour,Frozen - Meal,2.75,1.16,1,1.59,57.8,direct
2026-01-01,The Met,SKU0060,Built - Peanut Butter Cup,Built Variety,Snack - Energy Bar,4.0,1.53,1,2.47,61.8,direct
2026-01-01,The Met,SKU0133,Gatorade Frost - Glacier Cherry,Gatorade Frost - Glacier Cherry,Beverage - Hydration,3.0,0.75,1,2.25,75.0,direct
2026-01-01,The Met Freezer,SKU0338,Thelma's Ice Cream Sandwich Strawberry 6 oz,Thelma's Ice Cream Sandwich Strawberry 6 oz,Frozen - Meal,6.0,3.13,1,2.87,47.8,direct
2026-01-01,415 Colorado Freezer,SKU0056,Bola Pizza Sausage & Pepperoni,Bola Pizza Sausage & Pepperoni,Snack - Chips,18.5,12.58,1,5.92,32.0,direct
2026-01-01,The Met,SKU0230,Oreo Cookies,Oreo Cookies,Snack - Chips,2.5,0.45,1,2.05,82.0,direct
2026-01-01,The Met,SKU0205,M&M Peanuts,M&M Peanuts,Frozen - Meal,2.5,1.09,1,1.41,56.4,direct
2026-01-01,The Met Freezer,SKU0336,Thelma's Ice Cream Sandwich Monster 6fl oz,Thelma's Ice Cream Sandwich Monster 6fl oz,Snack - Chips,6.0,3.13,1,2.87,47.8,direct
2026-01-01,The Met,SKU0086,Chester's Fries Ranch,Chester's Fries Ranch,Snack - Chips,3.5,1.25,1,2.25,64.3,direct
2026-01-01,415 Colorado,SKU0272,Reese's Fast Break,Reese's Fast Break,Snack - Chips,2.75,0.7,1,2.05,74.5,direct
2026-01-01,415 Colorado Freezer,SKU0056,Bola Pizza Sausage & Pepperoni,Bola Pizza Sausage & Pepperoni,Snack - Chips,18.5,12.58,1,5.92,32.0,direct
2026-01-01,415 Colorado,SKU0100,Coke Zero 16.9oz,Coke Zero 16.9oz,Beverage - Water,3.25,0.74,1,2.51,77.2,direct
2026-01-01,The Met,SKU0113,Dr Pepper 16.9oz,Dr Pepper 16.9oz,Snack - Beef Stick,3.0,0.74,1,2.26,75.3,direct
2026-01-01,The Met,SKU0281,Rolled Corn Tortilla Chip Chili & Lime 9oz,Rolled Corn Tortilla Chip Chili & Lime 9oz,Beverage - Soda,6.25,2.99,1,3.26,52.2,direct
2026-01-01,The Met,SKU0216,Monster Ultra 16oz,Monster Ultra 16oz,Beverage - Soda,4.25,1.62,1,2.63,61.9,direct
2026-01-01,The Met Freezer,SKU0068,California Pizza Kitchen BBQ Chicken,California Pizza Kitchen BBQ Chicken,Frozen - Meal,16.0,7.83,1,8.17,51.1,direct
2026-01-01,415 Colorado,SKU0346,Trolli,Trolli,Beverage - Energy,3.5,1.52,1,1.98,56.6,direct
2026-01-01,415 Colorado,SKU0298,Snapple - Kiwi Strawberry,Snapple - Kiwi Strawberry,Snack - Candy,3.5,1.18,1,2.32,66.3,direct
2026-01-01,415 Colorado,SKU0286,San Pellegrino,San Pellegrino,Snack - Candy,3.0,0.9,1,2.1,70.0,direct
2026-01-01,The Bowen Freezer,SKU0338,Thelma's Ice Cream Sandwich Strawberry 6 oz,Thelma's Ice Cream Sandwich Strawberry 6 oz,Frozen - Meal,6.0,3.13,1,2.87,47.8,direct
2026-01-01,The Met Freezer,SKU0056,Bola Pizza Sausage & Pepperoni,Bola Pizza Sausage & Pepperoni,Snack - Chips,18.5,12.58,1,5.92,32.0,direct
2026-01-01,415 Colorado,SKU0349,Twix,Twix,Beverage - Energy,3.0,0.94,1,2.06,68.7,direct
2026-01-01,415 Colorado Freezer,SKU0056,Bola Pizza Sausage & Pepperoni,Bola Pizza Sausage & Pepperoni,Snack - Chips,18.5,12.58,1,5.92,32.0,direct
2026-01-01,415 Colorado Freezer,SKU0288,Screamin' Sicilian Holy Pepperoni Single 260g,Screamin' Sicilian Holy Pepperoni Single 260g,Beverage - Soda,8.5,4.18,1,4.32,50.8,direct
2026-01-01,415 Colorado,SKU0312,Sprite 16.9 oz,Sprite 16.9 oz,Snack - Beef Stick,3.25,0.74,1,2.51,77.2,direct
2026-01-01,The Met,SKU0060,Built - Peanut Butter Cup,Built Variety,Snack - Energy Bar,4.0,1.53,1,2.47,61.8,direct
2026-01-01,The Met Freezer,SKU0336,Thelma's Ice Cream Sandwich Monster 6fl oz,Thelma's Ice Cream Sandwich Monster 6fl oz,Snack - Chips,12.0,3.13,2,5.74,47.8,direct
2026-01-01,The Met,SKU0298,Snapple - Kiwi Strawberry,Snapple - Kiwi Strawberry,Snack - Candy,3.0,1.18,1,1.82,60.7,direct
2026-01-01,The Met,SKU0136,Gatorade Frost - Riptide Rush 20oz,Gatorade Frost - Riptide Rush,Beverage - Energy,3.0,0.75,1,2.25,75.0,direct
2026-01-01,The Met,SKU0341,Trader Joe's Chile Lime Pork Rinds,Trader Joe's Chile Lime Pork Rinds,Snack - Candy,6.25,2.49,1,3.76,60.2,direct
2026-01-01,The Bowen,SKU0295,Smart Water 23.7oz,Smart Water 23.7oz,Frozen - Ice Cream,3.5,1.0,1,2.5,71.4,direct
2026-01-01,The Bowen,SKU0044,Bloom Energy - Peach Mango,Bloom Variety,Beverage - Energy,4.5,1.33,1,3.17,70.4,direct
2026-01-01,The Met,SKU0044,Bloom Energy - Peach Mango,Bloom Variety,Beverage - Energy,4.5,1.33,1,3.17,70.4,direct
2026-01-01,The Bowen,SKU0286,San Pellegrino,San Pellegrino,Snack - Candy,3.0,0.9,1,2.1,70.0,direct
2026-01-01,The Bowen Freezer,SKU0351,Twix Ice Cream Bar,Twix Ice Cream Bar,Beverage - Energy,3.25,0.82,1,2.43,74.8,direct
2026-01-01,The Bowen Freezer,SKU0271,Red's Steak & Cheddar Burrito 5oz,Red's Steak & Cheddar Burrito 5oz,Snack - Candy,4.5,2.29,1,2.21,49.1,direct
2026-01-01,415 Colorado,SKU0136,Gatorade Frost - Riptide Rush 20oz,Gatorade Frost - Riptide Rush,Beverage - Energy,3.5,0.75,1,2.75,78.6,direct
2026-01-01,415 Colorado,SKU0132,Gatorade Frost - Glacier Freeze,Gatorade Frost - Glacier Freeze,Beverage - Hydration,3.5,0.75,1,2.75,78.6,direct
2026-01-01,The Met Freezer,SKU0233,Oreo Ice Cream,Oreo Ice Cream,Snack - Chips,3.25,0.81,1,2.44,75.1,direct
2026-01-01,The Met Freezer,SKU0351,Twix Ice Cream Bar,Twix Ice Cream Bar,Beverage - Energy,3.25,0.82,1,2.43,74.8,direct
2026-01-01,The Bowen,SKU0097,Coca Cola 16.9oz,Coca Cola 16.9oz,Beverage - Soda,3.0,0.74,1,2.26,75.3,direct
2026-01-01,415 Colorado,SKU0273,Reese's Peanut Butter Cups,Reese's Peanut Butter Cups,Snack - Chips,6.0,0.94,2,4.12,68.7,direct
2026-01-01,415 Colorado,SKU0072,Celsius,Celsius Variety,Frozen - Ice Cream,4.5,1.33,1,3.17,70.4,direct
2026-01-02,The Met,SKU0197,Lenny & Larry’s - Peanut Butter Chocolate Chip,Lenny & Larry's Variety,Beverage - Energy,3.5,1.11,1,2.39,68.3,direct
2026-01-02,The Met,SKU0100,Coke Zero 16.9oz,Coke Zero 16.9oz,Beverage - Water,3.0,0.74,1,2.26,75.3,direct
2026-01-02,The Nine at West Campus,SKU0072,Celsius,Celsius Variety,Frozen - Ice Cream,4.5,1.33,1,3.17,70.4,direct
2026-01-02,Ryder,SKU0100,Coke Zero 16.9oz,Coke Zero 16.9oz,Beverage - Water,2.5,0.74,1,1.76,70.4,direct
2026-01-02,West Bank,SKU0280,Ritz Toasted Chips Sour Cream & Onion 2.5 oz,Ritz Toasted Chips Sour Cream & Onion 2.5 oz,Snack - Energy Bar,3.5,1.25,1,2.25,64.3,direct
2026-01-02,The Met Freezer,SKU0345,Trader Joe’s Teriyaki Chicken Bowl,Trader Joe’s Teriyaki Chicken Bowl,Beverage - Hydration,9.25,4.79,1,4.46,48.2,direct
2026-01-02,West Bank,SKU0264,Red Bull 12oz,Red Bull 12oz,Frozen - Meal,4.5,2.25,1,2.25,50.0,direct
2026-01-02,The Met,SKU0390,Snickers,Snickers,,2.5,1.09,1,1.41,56.4,direct
2026-01-02,415 Colorado Freezer,SKU0332,Talenti Gelato Caramel Cookie Crunch,Talenti Gelato Caramel Cookie Crunch,Snack - Chips,10.25,5.75,1,4.5,43.9,direct
2026-01-02,Ryder,SKU0069,Wilde - Himalayan Pink Salt,Wilde Variety,Beverage - Energy,4.5,2.17,1,2.33,51.8,direct
2026-01-02,Johnstone Plumbing,SKU0221,Munchies,Munchies,Snack - Energy Bar,2.0,0.46,1,1.54,77.0,direct
2026-01-02,The Nine at West Campus,SKU0100,Coke Zero 16.9oz,Coke Zero 16.9oz,Beverage - Water,6.0,0.74,2,4.52,75.3,direct
2026-01-02,The Bowen,SKU0300,Snapple - Mango Madness,Snapple - Mango Madness,Snack - Candy,6.0,1.18,2,3.64,60.7,direct
2026-01-02,The Met,SKU0109,Diet Coke 16.9oz,Diet Coke 16.9oz,Snack - Chips,3.0,0.74,1,2.26,75.3,direct
2026-01-02,The Met,SKU0178,La Colombe - Vanilla,La Colombe - Vanilla,Beverage - Coffee,4.0,1.92,1,2.08,52.0,direct
2026-01-02,Goodwin,SKU0307,Sour Patch Kids 2oz,Sour Patch Kids 2oz,Beverage - Energy,3.0,0.9,1,2.1,70.0,direct
2026-01-02,Goodwin,SKU0235,P3 Portable Protein Pack - Turkey Colby Jack Almonds,P3 Portable Protein Pack - Turkey Colby Jack Almonds,Snack - Beef Stick,4.0,1.65,1,2.35,58.8,direct
2026-01-02,Goodwin,SKU0211,Miss Vickie's - Smokehouse BBQ,Miss Vickies Variety,Snack - Chips,2.0,0.62,1,1.38,69.0,direct
2026-01-02,Strictly Breakroom,SKU0356,Uptime - Blood Orange,Uptime Variety,Frozen - Ice Cream,4.25,1.75,1,2.5,58.8,direct
2026-01-02,Johnstone Plumbing,SKU0244,PopTarts,Poptart Variety,Snack - Chips,2.0,0.42,1,1.58,79.0,direct
2026-01-02,The Met Freezer,SKU0333,Talenti Gelato Double Dark Chocolate 16 oz,Talenti Gelato Double Dark Chocolate 16 oz,Frozen - Meal,8.5,5.75,1,2.75,32.4,direct
2026-01-02,The Nine at West Campus,SKU0273,Reese's Peanut Butter Cups,Reese's Peanut Butter Cups,Snack - Chips,2.5,0.94,1,1.56,62.4,direct
2026-01-02,The Bowen Freezer,SKU0016,Amy’s Gluten-Free Burrito Cheddar Cheese,Amy’s Gluten-Free Burrito Cheddar Cheese,Frozen - Meal,13.5,3.92,2,5.66,41.9,direct
2026-01-02,415 Colorado Freezer,SKU0233,Oreo Ice Cream,Oreo Ice Cream,Snack - Chips,3.5,0.81,1,2.69,76.9,direct
2026-01-02,The Bowen,SKU0216,Monster Ultra 16oz,Monster Ultra 16oz,Beverage - Soda,4.25,1.62,1,2.63,61.9,direct
2026-01-02,The Met,SKU0284,Skittles Sour,Skittles Sour,Frozen - Meal,2.75,1.16,1,1.59,57.8,direct
2026-01-02,415 Colorado Freezer,SKU0332,Talenti Gelato Caramel Cookie Crunch,Talenti Gelato Caramel Cookie Crunch,Snack - Chips,10.25,5.75,1,4.5,43.9,direct
2026-01-02,The Met,SKU0390,Snickers,Snickers,,2.5,1.09,1,1.41,56.4,direct
2026-01-02,Ryder,SKU0273,Reese's Peanut Butter Cups,Reese's Peanut Butter Cups,Snack - Chips,2.0,0.94,1,1.06,53.0,direct
2026-01-02,The Bowen,SKU0007,Airheads Xtremes Bites,Airheads Xtremes Bites,Snack - Candy,2.5,0.88,1,1.62,64.8,direct
2026-01-02,The Bowen,SKU0312,Sprite 16.9 oz,Sprite 16.9 oz,Snack - Beef Stick,3.0,0.74,1,2.26,75.3,direct
2026-01-02,The Met Freezer,SKU0147,Haagen-Dazs New York Strawberry Cheesecake,Haagen-Dazs New York Strawberry Cheesecake,Snack - Candy,9.25,4.58,1,4.67,50.5,direct
2026-01-02,The Bowen,SKU0153,Hershey's Cookies 'n Creme,Hershey's Cookies 'n Creme,Snack - Pastry,2.5,0.94,1,1.56,62.4,direct
2026-01-02,The Bowen Freezer,SKU0351,Twix Ice Cream Bar,Twix Ice Cream Bar,Beverage - Energy,3.25,0.82,1,2.43,74.8,direct
2026-01-02,415 Colorado,SKU0113,Dr Pepper 16.9oz,Dr Pepper 16.9oz,Snack - Beef Stick,3.25,0.74,1,2.51,77.2,direct
2026-01-02,The Met,SKU0087,Chester's Puffcorn Cheese Flavored (60.2g),Chester's Puffcorn Cheese Flavored (60.2g),Snack - Chips,3.5,1.25,1,2.25,64.3,direct
2026-01-02,The Met,SKU0262,RX Bar - Chocolate Sea Salt,RX Bar Variety,Beverage - Energy,3.5,1.33,1,2.17,62.0,direct
2026-01-02,415 Colorado,SKU0230,Oreo Cookies,Oreo Cookies,Snack - Chips,2.5,0.45,1,2.05,82.0,direct
2026-01-02,415 Colorado,SKU0256,Powerade Zero - Fruit Punch,Powerade Zero Variety,Frozen - Ice Cream,3.5,0.71,1,2.79,79.7,direct
2026-01-02,415 Colorado,SKU0312,Sprite 16.9 oz,Sprite 16.9 oz,Snack - Beef Stick,3.25,0.74,1,2.51,77.2,direct
2026-01-02,415 Colorado,SKU0219,Moon Pie - Chocolate Double Decker,Moon Pie - Chocolate Double Decker,Snack - Energy Bar,2.5,0.55,1,1.95,78.0,direct
2026-01-02,415 Colorado,SKU0265,Red Bull 12oz Sugar Free,Red Bull 12oz Sugar Free,Frozen - Meal,9.5,2.25,2,5.0,52.6,direct
2026-01-02,The Met,SKU0276,Rice KrispiesTreat Salted Caramel Mega Size 2.1oz,Rice KrispiesTreat Salted Caramel Mega Size 2.1oz,Snack - Chips,3.0,1.25,1,1.75,58.3,direct
2026-01-02,415 Colorado,SKU0097,Coca Cola 16.9oz,Coca Cola 16.9oz,Beverage - Soda,3.5,0.74,1,2.76,78.9,direct
2026-01-02,415 Colorado,SKU0284,Skittles Sour,Skittles Sour,Frozen - Meal,2.75,1.16,1,1.59,57.8,direct
2026-01-02,415 Colorado,SKU0295,Smart Water 23.7oz,Smart Water 23.7oz,Frozen - Ice Cream,10.5,1.0,3,7.5,71.4,direct
2026-01-02,The Bowen Freezer,SKU0304,Snickers Ice Cream Bar 2oz,Snickers Ice Cream Bar 2oz,Beverage - Soda,3.25,0.52,1,2.73,84.0,direct
2026-01-02,The Met,SKU0312,Sprite 16.9 oz,Sprite 16.9 oz,Snack - Beef Stick,3.0,0.74,1,2.26,75.3,direct
2026-01-02,West Bank,SKU0265,Red Bull 12oz Sugar Free,Red Bull 12oz Sugar Free,Frozen - Meal,4.5,2.25,1,2.25,50.0,direct
2026-01-02,The Met,SKU0097,Coca Cola 16.9oz,Coca Cola 16.9oz,Beverage - Soda,3.0,0.74,1,2.26,75.3,direct
2026-01-02,The Bowen,SKU0356,Uptime - Blood Orange,Uptime Variety,Frozen - Ice Cream,4.5,1.75,1,2.75,61.1,direct
2026-01-02,Goodwin,SKU0264,Red Bull 12oz,Red Bull 12oz,Frozen - Meal,4.5,2.25,1,2.25,50.0,direct
2026-01-02,Ryder,SKU0264,Red Bull 12oz,Red Bull 12oz,Frozen - Meal,4.0,2.25,1,1.75,43.8,direct
2026-01-02,Johnstone Metric,SKU0025,Baked Fritos Lays Variety,Baked Lay Variety,Snack - Candy,2.0,0.62,1,1.38,69.0,direct
2026-01-02,Johnstone Metric,SKU0390,Snickers,Snickers,,2.5,1.09,1,1.41,56.4,direct
2026-01-02,Johnstone Metric,SKU0218,Monster Original 16oz,Monster Original 16oz,Snack - Chips,4.25,1.62,1,2.63,61.9,direct
2026-01-02,Strictly Surgery Center,SKU0121,Fairlife,Fairlife,Snack - Chips,3.75,1.89,1,1.86,49.6,direct
2026-01-02,Strictly Surgery Center,SKU0131,Garden Veggie Straws,Veggie Straws Variety,Snack - Chips,2.5,0.47,1,2.03,81.2,direct
2026-01-02,415 Colorado,SKU0105,Cwench - Rainbow Swirl,Cwench Variety,Beverage - Soda,5.5,2.24,1,3.26,59.3,direct
2026-01-02,415 Colorado,SKU0072,Celsius,Celsius Variety,Frozen - Ice Cream,4.5,1.33,1,3.17,70.4,direct
2026-01-02,415 Colorado,SKU0273,Reese's Peanut Butter Cups,Reese's Peanut Butter Cups,Snack - Chips,3.0,0.94,1,2.06,68.7,direct
2026-01-02,The Bowen,SKU0273,Reese's Peanut Butter Cups,Reese's Peanut Butter Cups,Snack - Chips,2.5,0.94,1,1.56,62.4,direct
2026-01-02,The Bowen,SKU0256,Powerade Zero - Fruit Punch,Powerade Zero Variety,Frozen - Ice Cream,3.0,0.71,1,2.29,76.3,direct
2026-01-02,The Bowen,SKU0136,Gatorade Frost - Riptide Rush 20oz,Gatorade Frost - Riptide Rush,Beverage - Energy,3.0,0.75,1,2.25,75.0,direct
2026-01-02,The Bowen,SKU0219,Moon Pie - Chocolate Double Decker,Moon Pie - Chocolate Double Decker,Snack - Energy Bar,2.5,0.55,1,1.95,78.0,direct
2026-01-02,Strictly Cedar Park,SKU0165,Kars Trail Mix,Kars Trail Mix,Beverage - Soda,1.5,0.41,1,1.09,72.7,direct
2026-01-02,The Nine at West Campus,SKU0123,Famous Amos,Famous Amos,Snack - Chips,2.5,0.43,1,2.07,82.8,direct
2026-01-02,The Nine at West Campus,SKU0380,Zapp's Voodoo Potato Chips 2.5oz,Zapp's Voodoo Potato Chips 2.5oz,,3.5,1.25,1,2.25,64.3,direct
2026-01-02,The Bowen Freezer,SKU0068,California Pizza Kitchen BBQ Chicken,California Pizza Kitchen BBQ Chicken,Frozen - Meal,16.0,7.83,1,8.17,51.1,direct
2026-01-02,The Bowen,SKU0205,M&M Peanuts,M&M Peanuts,Frozen - Meal,2.5,1.09,1,1.41,56.4,direct
2026-01-02,The Bowen,SKU0273,Reese's Peanut Butter Cups,Reese's Peanut Butter Cups,Snack - Chips,2.5,0.94,1,1.56,62.4,direct
2026-01-02,Goodwin,SKU0060,Built - Peanut Butter Cup,Built Variety,Snack - Energy Bar,4.0,1.53,1,2.47,61.8,direct
2026-01-02,Goodwin,SKU0025,Baked Fritos Lays Variety,Baked Lay Variety,Snack - Candy,2.0,0.62,1,1.38,69.0,direct
2026-01-02,Strictly Surgery Center,SKU0244,PopTarts,Poptart Variety,Snack - Chips,2.0,0.42,1,1.58,79.0,direct
2026-01-02,Ryder,SKU0025,Baked Fritos Lays Variety,Baked Lay Variety,Snack - Candy,2.0,0.62,1,1.38,69.0,direct
2026-01-02,Ryder,SKU0007,Airheads Xtremes Bites,Airheads Xtremes Bites,Snack - Candy,1.5,0.88,1,0.62,41.3,direct
2026-01-02,415 Colorado,SKU0097,Coca Cola 16.9oz,Coca Cola 16.9oz,Beverage - Soda,3.5,0.74,1,2.76,78.9,direct
2026-01-02,Goodwin,SKU0256,Powerade Zero - Fruit Punch,Powerade Zero Variety,Frozen - Ice Cream,3.0,0.71,1,2.29,76.3,direct
2026-01-02,The Bowen,SKU0133,Gatorade Frost - Glacier Cherry,Gatorade Frost - Glacier Cherry,Beverage - Hydration,3.0,0.75,1,2.25,75.0,direct
2026-01-02,The Met,SKU0356,Uptime - Blood Orange,Uptime Variety,Frozen - Ice Cream,4.5,1.75,1,2.75,61.1,direct
2026-01-02,Johnstone Metric,SKU0100,Coke Zero 16.9oz,Coke Zero 16.9oz,Beverage - Water,3.0,0.74,1,2.26,75.3,direct
2026-01-02,Johnstone Metric,SKU0113,Dr Pepper 16.9oz,Dr Pepper 16.9oz,Snack - Beef Stick,6.0,0.74,2,4.52,75.3,direct
2026-01-02,The Bowen,SKU0109,Diet Coke 16.9oz,Diet Coke 16.9oz,Snack - Chips,3.0,0.74,1,2.26,75.3,direct
2026-01-02,The Bowen,SKU0044,Bloom Energy - Peach Mango,Bloom Variety,Beverage - Energy,4.5,1.33,1,3.17,70.4,direct
2026-01-02,The Met,SKU0278,Ritz Bits,Ritz Bits,Snack - Candy,6.0,0.38,3,4.86,81.0,direct
2026-01-02,The Bowen,SKU0109,Diet Coke 16.9oz,Diet Coke 16.9oz,Snack - Chips,3.0,0.74,1,2.26,75.3,direct
2026-01-02,The Bowen,SKU0230,Oreo Cookies,Oreo Cookies,Snack - Chips,2.5,0.45,1,2.05,82.0,direct
2026-01-02,Strictly Cedar Park,SKU0205,M&M Peanuts,M&M Peanuts,Frozen - Meal,2.0,1.09,1,0.91,45.5,direct
2026-01-02,The Bowen,SKU0205,M&M Peanuts,M&M Peanuts,Frozen - Meal,2.5,1.09,1,1.41,56.4,direct
2026-01-02,Goodwin,SKU0048,Bloom Pop - Shirley Temple,Bloom Pop Variety,Beverage - Soda,2.5,0.5,1,2.0,80.0,direct
2026-01-02,Ryder,SKU0264,Red Bull 12oz,Red Bull 12oz,Frozen - Meal,4.0,2.25,1,1.75,43.8,direct
